iter	MAE
0	346.0009122
1	328.7119067
2	312.5391266
3	294.0231236
4	277.0762786
5	263.6903035
6	250.5889503
7	238.6972434
8	227.7897257
9	216.9633403
10	207.0031877
11	197.2550496
12	188.0711326
13	179.6282745
14	171.6840575
15	164.1046195
16	157.0827959
17	150.2592323
18	143.4985262
19	137.315385
20	131.4495358
21	125.7714707
22	120.3698819
23	115.4019447
24	110.5726771
25	105.9365224
26	101.5437124
27	97.44168239
28	93.38298129
29	89.61141107
30	85.80855801
31	82.41719098
32	79.14089016
33	75.98677996
34	72.98901678
35	70.22381831
36	67.53036674
37	64.92175413
38	62.44545027
39	60.10341427
40	57.85590665
41	55.77413934
42	53.7996433
43	51.9384066
44	50.16602687
45	48.48053635
46	46.86654211
47	45.34369261
48	43.90128041
49	42.52506407
50	41.25737831
51	40.03401709
52	38.7374604
53	37.50409713
54	36.3759034
55	35.36856983
56	34.44730417
57	33.53282142
58	32.74214331
59	31.89202379
60	31.18463816
61	30.49562
62	29.84895336
63	29.25934787
64	28.65701253
65	28.09692048
66	27.58088979
67	27.10810879
68	26.61345282
69	26.15645552
70	25.69738727
71	25.28887775
72	24.89424228
73	24.53860126
74	24.18610838
75	23.7913455
76	23.4757288
77	23.19679758
78	22.90002398
79	22.64209287
80	22.39494249
81	22.13793734
82	21.87359254
83	21.68108336
84	21.29817285
85	21.11181747
86	20.8800088
87	20.66538546
88	20.48866861
89	20.33595678
90	20.18966349
91	19.98613028
92	19.83376645
93	19.6881818
94	19.51347992
95	19.3535378
96	19.1798812
97	19.01829088
98	18.88968886
99	18.77147789
100	18.6582555
101	18.49885835
102	18.40352233
103	18.28091984
104	18.16775168
105	18.02056993
106	17.90997927
107	17.79570481
108	17.71992555
109	17.61591094
110	17.52150486
111	17.4339171
112	17.33118577
113	17.24324313
114	17.16024349
115	17.02911795
116	16.97675677
117	16.84369162
118	16.78813355
119	16.69790315
120	16.58678475
121	16.44861544
122	16.37551816
123	16.25467639
124	16.15864027
125	16.07110536
126	15.97576399
127	15.82446785
128	15.7525009
129	15.6486886
130	15.55599265
131	15.47585109
132	15.40560467
133	15.32447127
134	15.2663307
135	15.19474783
136	15.1387165
137	15.01855334
138	14.9552286
139	14.90204243
140	14.85964403
141	14.8100048
142	14.74189717
143	14.66280889
144	14.61760999
145	14.55060413
146	14.42050461
147	14.36550073
148	14.33435713
149	14.29848512
150	14.23335919
151	14.17751527
152	14.14316978
153	14.0821304
154	14.05507483
155	14.01845547
156	13.96102034
157	13.90873767
158	13.88460843
159	13.85763507
160	13.7645016
161	13.7216013
162	13.63451601
163	13.60102027
164	13.57010158
165	13.48145792
166	13.4605013
167	13.44059119
168	13.39675429
169	13.31564414
170	13.27610205
171	13.23581332
172	13.16615118
173	13.11067405
174	13.08987124
175	13.04541718
176	13.0280624
177	13.00173796
178	12.92244355
179	12.86210911
180	12.84157614
181	12.77931022
182	12.73559511
183	12.63122617
184	12.57198031
185	12.52828093
186	12.48795848
187	12.46440688
188	12.44088758
189	12.36245646
190	12.25868952
191	12.24011101
192	12.22327596
193	12.17752405
194	12.14147622
195	12.12850154
196	12.10240128
197	12.02063917
198	11.99413392
199	11.94540613
200	11.93036176
201	11.90439171
202	11.86369066
203	11.81446647
204	11.78692845
205	11.76691047
206	11.74803361
207	11.73115323
208	11.68370636
209	11.66037519
210	11.61544865
211	11.57429404
212	11.55199237
213	11.5169634
214	11.49588977
215	11.45328442
216	11.44235707
217	11.41099059
218	11.39859056
219	11.35986804
220	11.28585404
221	11.26770896
222	11.25299366
223	11.20420432
224	11.19595697
225	11.17257391
226	11.16126428
227	11.13982346
228	11.0968979
229	11.05011021
230	11.01171779
231	10.97452243
232	10.95424524
233	10.91334708
234	10.8758334
235	10.86457425
236	10.8378755
237	10.80893845
238	10.77873206
239	10.74888545
240	10.72302592
241	10.68888078
242	10.67529217
243	10.66532929
244	10.625541
245	10.61785055
246	10.61009931
247	10.59919127
248	10.58131427
249	10.56206987
250	10.52419616
251	10.51206497
252	10.49972917
253	10.49288219
254	10.44441957
255	10.43573248
256	10.42759929
257	10.4060511
258	10.3976535
259	10.38932972
260	10.36513308
261	10.34962221
262	10.34001934
263	10.30747483
264	10.30332934
265	10.29536195
266	10.2679797
267	10.26349252
268	10.24559305
269	10.23630912
270	10.21438937
271	10.18598142
272	10.18251396
273	10.16797992
274	10.15950831
275	10.14845408
276	10.14121216
277	10.13573539
278	10.11953562
279	10.1149395
280	10.09994717
281	10.08340792
282	10.07627335
283	10.07029785
284	10.04290524
285	10.03754749
286	10.02615676
287	10.02267987
288	9.992050643
289	9.951172419
290	9.915975608
291	9.88123429
292	9.860827309
293	9.837065802
294	9.821003689
295	9.815334206
296	9.802202384
297	9.787686615
298	9.768164317
299	9.74394685
