iter	RMSE
0	1188.508081
1	1135.999109
2	1086.264065
3	1039.219766
4	994.941573
5	953.5879746
6	913.4504557
7	875.6974417
8	839.31544
9	805.7982543
10	773.7781672
11	743.7612191
12	715.2938181
13	688.1500757
14	662.3127368
15	638.1993979
16	614.7034711
17	593.2328613
18	573.06045
19	554.0697437
20	534.6951245
21	516.349111
22	498.5052127
23	482.0493511
24	467.3698725
25	452.3456771
26	438.2461668
27	425.4086142
28	412.442127
29	401.3278056
30	389.8178548
31	379.9628173
32	369.5587885
33	360.0373492
34	351.8641022
35	343.266364
36	335.5056229
37	327.6241911
38	320.1596377
39	313.6498703
40	306.8159548
41	300.1889886
42	293.9623184
43	288.1943795
44	283.1245485
45	277.9850499
46	272.8818171
47	268.0941357
48	263.5762736
49	259.2889929
50	255.3379242
51	251.8533986
52	247.9836888
53	244.6129625
54	241.3184527
55	238.836036
56	235.8241944
57	232.8714063
58	230.1732749
59	227.6238868
60	225.0736351
61	222.7660206
62	220.8364113
63	218.6152106
64	216.5880833
65	214.2069233
66	212.2101563
67	210.6327142
68	208.8582003
69	206.8810429
70	205.2494922
71	203.7764515
72	202.150181
73	200.5255834
74	199.068421
75	197.7649616
76	196.1788703
77	194.6679431
78	193.304419
79	192.0677826
80	191.0358543
81	189.5541141
82	188.6585068
83	187.0622726
84	185.962427
85	185.0457077
86	183.977824
87	182.9542402
88	181.5428379
89	180.4649347
90	179.6878514
91	178.5635748
92	177.7185105
93	176.6889096
94	175.8388701
95	175.0251586
96	173.9879068
97	172.7294612
98	171.9378932
99	170.6745849
100	169.8398528
101	168.6783252
102	167.704133
103	166.9087573
104	165.7881584
105	164.9025879
106	164.203487
107	163.5243659
108	162.7499025
109	161.7401853
110	160.9773868
111	160.357104
112	159.4501955
113	158.6677901
114	157.8165462
115	157.3381255
116	156.5603118
117	155.7589896
118	154.9921757
119	154.4157773
120	153.6864098
121	153.1705665
122	152.5954028
123	152.0053237
124	151.3175966
125	150.6352698
126	149.9820174
127	149.2914219
128	148.5251199
129	147.760579
130	146.9928653
131	146.4707675
132	145.930998
133	145.3214148
134	144.7922718
135	144.2395098
136	143.6992372
137	143.24664
138	142.7647306
139	142.2801776
140	141.7709875
141	141.0064318
142	140.2855781
143	139.7482171
144	139.2549075
145	138.7487195
146	138.2939738
147	137.7190017
148	137.1020847
149	136.5547377
150	135.9478272
151	135.3078722
152	134.7070408
153	133.9624282
154	133.4915624
155	132.9191389
156	132.4730704
157	131.9523029
158	131.5855472
159	131.0806839
160	130.7267123
161	130.1907223
162	129.8510393
163	129.3877889
164	128.9622194
165	128.3904399
166	127.9340996
167	127.6534329
168	127.1025707
169	126.7158077
170	126.2402265
171	125.801841
172	125.2410268
173	124.6656022
174	124.1091907
175	123.7307694
176	123.4279418
177	122.9538433
178	122.3400741
179	121.9195651
180	121.487887
181	120.9715027
182	120.4608355
183	120.117727
184	119.7526913
185	119.4280121
186	119.1011851
187	118.6607001
188	118.218083
189	117.8466113
190	117.4216389
191	117.0233258
192	116.6728043
193	116.2289456
194	115.8345041
195	115.4654428
196	115.03883
197	114.730306
198	114.2441194
199	113.8206355
